Position,Hand,Hand Type,Recommended Action
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,83o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
UTG,72o,Trash,Fold (unplayable)
UTG+1,22,Marginal,Fold (too weak early)
BB,83o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,J4o,Trash,Fold (unplayable)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,87s,Speculative,"Call if no raise, fold to raise"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KQs,Strong,"Raise, call 3-bet in position"
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,83o,Trash,Fold (unplayable)
HJ,T3o,Trash,Fold (unplayable)
UTG+1,QTo,Marginal,Fold (too weak early)
SB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,22,Marginal,Fold (too weak early)
UTG,AKs,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,98s,Speculative,"Call if no raise, fold to raise"
CO,72o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
BB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,22,Marginal,"Call if folded to, fold to aggression"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,83o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
CO,KK,Premium,Raise (almost always)
SB,TT,Strong,"Raise, call 3-bet in position"
MP,J4o,Trash,Fold (unplayable)
UTG+1,T3o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
MP,QTo,Marginal,Fold (too weak early)
CO,KTs,Speculative,Fold (not profitable OOP)
UTG,AKs,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
HJ,95o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
BB,AA,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
BB,JJ,Strong,"Call, fold to large 3-bet"
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,AKs,Premium,Raise (almost always)
BB,T3o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
BB,87s,Speculative,"Call if no raise, fold to raise"
SB,QQ,Premium,Raise (almost always)
UTG,T3o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
UTG,T9s,Speculative,Fold (not profitable OOP)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
UTG+1,AKs,Premium,Raise (almost always)
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,KQs,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
UTG,KQs,Strong,"Call, fold to large 3-bet"
BB,T9s,Speculative,"Call if no raise, fold to raise"
MP,A9o,Marginal,Fold (too weak early)
UTG+1,QQ,Premium,Raise (almost always)
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,AKs,Premium,Raise (almost always)
UTG+1,QQ,Premium,Raise (almost always)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,J4o,Trash,Fold (unplayable)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,A9o,Marginal,Fold (too weak early)
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,JJ,Strong,"Call, fold to large 3-bet"
UTG,98s,Speculative,Fold (not profitable OOP)
SB,72o,Trash,Fold (unplayable)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
BB,QQ,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG,J4o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG,A5s,Speculative,Fold (not profitable OOP)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
SB,22,Marginal,"Call if folded to, fold to aggression"
MP,AKs,Premium,Raise (almost always)
BB,KQs,Strong,"Call, fold to large 3-bet"
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
UTG,A5s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
MP,J4o,Trash,Fold (unplayable)
BB,J4o,Trash,Fold (unplayable)
CO,AKs,Premium,Raise (almost always)
MP,22,Marginal,Fold (too weak early)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
MP,95o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,83o,Trash,Fold (unplayable)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,95o,Trash,Fold (unplayable)
BB,83o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,QQ,Premium,Raise (almost always)
BB,AQs,Strong,"Call, fold to large 3-bet"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
MP,98s,Speculative,Fold (not profitable OOP)
BTN,83o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AKs,Premium,Raise (almost always)
CO,22,Marginal,"Call if folded to, fold to aggression"
UTG,TT,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
MP,83o,Trash,Fold (unplayable)
