Position,Hand,Hand Type,Recommended Action
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BTN,KQs,Strong,"Raise, call 3-bet in position"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BTN,KK,Premium,Raise (almost always)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,J9s,Marginal,Fold (too weak early)
HJ,95o,Trash,Fold (unplayable)
BTN,83o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,J4o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
CO,TT,Strong,"Raise, call 3-bet in position"
BB,83o,Trash,Fold (unplayable)
CO,A5s,Speculative,Fold (not profitable OOP)
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
HJ,KQs,Strong,"Call, fold to large 3-bet"
HJ,87s,Speculative,Fold (not profitable OOP)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,QQ,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
UTG,AKs,Premium,Raise (almost always)
CO,87s,Speculative,Fold (not profitable OOP)
HJ,AJs,Strong,"Call, fold to large 3-bet"
BB,72o,Trash,Fold (unplayable)
UTG,TT,Strong,"Call, fold to large 3-bet"
HJ,TT,Strong,"Call, fold to large 3-bet"
CO,KQs,Strong,"Raise, call 3-bet in position"
BB,95o,Trash,Fold (unplayable)
SB,95o,Trash,Fold (unplayable)
MP,95o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
UTG,AA,Premium,Raise (almost always)
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
MP,A9o,Marginal,Fold (too weak early)
MP,QQ,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,AA,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,83o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
MP,A5s,Speculative,Fold (not profitable OOP)
HJ,QQ,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
SB,TT,Strong,"Raise, call 3-bet in position"
UTG,83o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KK,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,T3o,Trash,Fold (unplayable)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,QQ,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
UTG,AQs,Strong,"Call, fold to large 3-bet"
UTG,KTs,Speculative,Fold (not profitable OOP)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,AA,Premium,Raise (almost always)
MP,KTs,Speculative,Fold (not profitable OOP)
UTG+1,KK,Premium,Raise (almost always)
SB,AA,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG,J4o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,AJs,Strong,"Raise, call 3-bet in position"
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG,TT,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,QQ,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,KK,Premium,Raise (almost always)
UTG+1,QQ,Premium,Raise (almost always)
UTG+1,QTo,Marginal,Fold (too weak early)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
UTG,87s,Speculative,Fold (not profitable OOP)
SB,J4o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
BB,95o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
BTN,J4o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
CO,T9s,Speculative,Fold (not profitable OOP)
MP,QTo,Marginal,Fold (too weak early)
MP,72o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,98s,Speculative,Fold (not profitable OOP)
CO,TT,Strong,"Raise, call 3-bet in position"
BB,KK,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
UTG+1,QQ,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,J9s,Marginal,Fold (too weak early)
BB,QQ,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
HJ,AQs,Strong,"Call, fold to large 3-bet"
SB,95o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG,87s,Speculative,Fold (not profitable OOP)
MP,QTo,Marginal,Fold (too weak early)
MP,KK,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,J9s,Marginal,Fold (too weak early)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,T3o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
MP,95o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
CO,T3o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
HJ,95o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
UTG,AKs,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
CO,KK,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
CO,95o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
SB,83o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
UTG,98s,Speculative,Fold (not profitable OOP)
HJ,A5s,Speculative,Fold (not profitable OOP)
HJ,A5s,Speculative,Fold (not profitable OOP)
CO,J4o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
MP,87s,Speculative,Fold (not profitable OOP)
UTG,95o,Trash,Fold (unplayable)
CO,KK,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
UTG+1,22,Marginal,Fold (too weak early)
UTG,95o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,TT,Strong,"Raise, call 3-bet in position"
BB,QQ,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AKs,Premium,Raise (almost always)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
UTG,JJ,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
SB,95o,Trash,Fold (unplayable)
UTG,KQs,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
CO,AKs,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
UTG+1,AKs,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,QQ,Premium,Raise (almost always)
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,AA,Premium,Raise (almost always)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,87s,Speculative,Fold (not profitable OOP)
BB,J4o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG,AA,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
SB,98s,Speculative,"Call if no raise, fold to raise"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,QQ,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BB,72o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG+1,QTo,Marginal,Fold (too weak early)
CO,AKs,Premium,Raise (almost always)
CO,TT,Strong,"Raise, call 3-bet in position"
BTN,KQs,Strong,"Raise, call 3-bet in position"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,AA,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
BTN,QQ,Premium,Raise (almost always)
UTG+1,98s,Speculative,Fold (not profitable OOP)
BB,AKs,Premium,Raise (almost always)
MP,KQs,Strong,"Call, fold to large 3-bet"
HJ,AA,Premium,Raise (almost always)
HJ,83o,Trash,Fold (unplayable)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,QQ,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG,J9s,Marginal,Fold (too weak early)
CO,T3o,Trash,Fold (unplayable)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,KJo,Marginal,Fold (too weak early)
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,95o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
MP,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,83o,Trash,Fold (unplayable)
BTN,QQ,Premium,Raise (almost always)
UTG+1,22,Marginal,Fold (too weak early)
CO,AJs,Strong,"Raise, call 3-bet in position"
HJ,AA,Premium,Raise (almost always)
MP,AQs,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,KK,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
BTN,AA,Premium,Raise (almost always)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BB,83o,Trash,Fold (unplayable)
HJ,87s,Speculative,Fold (not profitable OOP)
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
SB,72o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
UTG,J9s,Marginal,Fold (too weak early)
BTN,22,Marginal,"Call if folded to, fold to aggression"
BTN,QQ,Premium,Raise (almost always)
CO,22,Marginal,"Call if folded to, fold to aggression"
SB,87s,Speculative,"Call if no raise, fold to raise"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,KK,Premium,Raise (almost always)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
HJ,83o,Trash,Fold (unplayable)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,KJo,Marginal,Fold (too weak early)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
SB,QQ,Premium,Raise (almost always)
SB,T3o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,AKs,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
SB,87s,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
CO,A5s,Speculative,Fold (not profitable OOP)
MP,95o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
SB,AKs,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,95o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG,TT,Strong,"Call, fold to large 3-bet"
CO,72o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,JJ,Strong,"Raise, call 3-bet in position"
BTN,KK,Premium,Raise (almost always)
HJ,QQ,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,AKs,Premium,Raise (almost always)
UTG,95o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,83o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,A9o,Marginal,Fold (too weak early)
SB,QQ,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,98s,Speculative,"Call if no raise, fold to raise"
BB,TT,Strong,"Call, fold to large 3-bet"
SB,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,98s,Speculative,Fold (not profitable OOP)
SB,83o,Trash,Fold (unplayable)
MP,87s,Speculative,Fold (not profitable OOP)
MP,JJ,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,A5s,Speculative,Fold (not profitable OOP)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
HJ,KK,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,AKs,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,AA,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,QQ,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,QQ,Premium,Raise (almost always)
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
BB,83o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
MP,22,Marginal,Fold (too weak early)
UTG,TT,Strong,"Call, fold to large 3-bet"
UTG,87s,Speculative,Fold (not profitable OOP)
UTG+1,A9o,Marginal,Fold (too weak early)
HJ,AA,Premium,Raise (almost always)
BB,JJ,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
CO,JJ,Strong,"Raise, call 3-bet in position"
CO,98s,Speculative,Fold (not profitable OOP)
MP,87s,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
UTG,87s,Speculative,Fold (not profitable OOP)
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG,AA,Premium,Raise (almost always)
MP,J4o,Trash,Fold (unplayable)
UTG,AKs,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BB,T3o,Trash,Fold (unplayable)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BB,83o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
SB,AA,Premium,Raise (almost always)
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,J9s,Marginal,Fold (too weak early)
UTG,T3o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
HJ,72o,Trash,Fold (unplayable)
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,T3o,Trash,Fold (unplayable)
BB,AA,Premium,Raise (almost always)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,KK,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
UTG+1,QQ,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,95o,Trash,Fold (unplayable)
HJ,87s,Speculative,Fold (not profitable OOP)
CO,T3o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
HJ,72o,Trash,Fold (unplayable)
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
CO,A5s,Speculative,Fold (not profitable OOP)
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,KTs,Speculative,Fold (not profitable OOP)
HJ,T3o,Trash,Fold (unplayable)
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG,AA,Premium,Raise (almost always)
MP,22,Marginal,Fold (too weak early)
MP,95o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
UTG+1,AKs,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
CO,95o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
SB,A5s,Speculative,"Call if no raise, fold to raise"
CO,KK,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,87s,Speculative,Fold (not profitable OOP)
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG,A5s,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
SB,J4o,Trash,Fold (unplayable)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
MP,T3o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
SB,22,Marginal,"Call if folded to, fold to aggression"
BTN,TT,Strong,"Raise, call 3-bet in position"
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG,A5s,Speculative,Fold (not profitable OOP)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,J4o,Trash,Fold (unplayable)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG,TT,Strong,"Call, fold to large 3-bet"
HJ,AKs,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,QQ,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
UTG+1,QTo,Marginal,Fold (too weak early)
MP,83o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,KJo,Marginal,Fold (too weak early)
MP,95o,Trash,Fold (unplayable)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,22,Marginal,"Call if folded to, fold to aggression"
