Position,Hand,Hand Type,Recommended Action
BTN,KTs,Speculative,"Call if no raise, fold to raise"
HJ,22,Marginal,"Call if folded to, fold to aggression"
MP,83o,Trash,Fold (unplayable)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,95o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
UTG+1,T3o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
UTG+1,QQ,Premium,Raise (almost always)
HJ,87s,Speculative,Fold (not profitable OOP)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
BB,72o,Trash,Fold (unplayable)
HJ,T3o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
SB,AA,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
BTN,T3o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,22,Marginal,"Call if folded to, fold to aggression"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,J4o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
MP,AA,Premium,Raise (almost always)
UTG+1,72o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG+1,A9o,Marginal,Fold (too weak early)
MP,KTs,Speculative,Fold (not profitable OOP)
SB,KK,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
UTG+1,AA,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,TT,Strong,"Call, fold to large 3-bet"
UTG+1,AKs,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,87s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,87s,Speculative,Fold (not profitable OOP)
BTN,TT,Strong,"Raise, call 3-bet in position"
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG,AJs,Strong,"Call, fold to large 3-bet"
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
CO,98s,Speculative,Fold (not profitable OOP)
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG,72o,Trash,Fold (unplayable)
HJ,72o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,22,Marginal,"Call if folded to, fold to aggression"
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,22,Marginal,Fold (too weak early)
BTN,KQs,Strong,"Raise, call 3-bet in position"
BTN,95o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
BTN,AA,Premium,Raise (almost always)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,87s,Speculative,"Call if no raise, fold to raise"
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,AA,Premium,Raise (almost always)
HJ,T9s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,AKs,Premium,Raise (almost always)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
UTG,QQ,Premium,Raise (almost always)
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,KJo,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,83o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,98s,Speculative,Fold (not profitable OOP)
BTN,KQs,Strong,"Raise, call 3-bet in position"
SB,T9s,Speculative,"Call if no raise, fold to raise"
MP,95o,Trash,Fold (unplayable)
BB,83o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
SB,KQs,Strong,"Raise, call 3-bet in position"
MP,J9s,Marginal,Fold (too weak early)
BB,72o,Trash,Fold (unplayable)
HJ,AQs,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
MP,98s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,KK,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
BTN,T3o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
BB,AKs,Premium,Raise (almost always)
BB,72o,Trash,Fold (unplayable)
CO,AA,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
UTG,J9s,Marginal,Fold (too weak early)
CO,KTs,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
SB,QQ,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
BTN,95o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,AA,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
BTN,83o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BB,72o,Trash,Fold (unplayable)
MP,AQs,Strong,"Call, fold to large 3-bet"
BB,AJs,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,AA,Premium,Raise (almost always)
UTG,95o,Trash,Fold (unplayable)
SB,TT,Strong,"Raise, call 3-bet in position"
UTG+1,J4o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
BTN,KK,Premium,Raise (almost always)
MP,T9s,Speculative,Fold (not profitable OOP)
BTN,TT,Strong,"Raise, call 3-bet in position"
BTN,AA,Premium,Raise (almost always)
UTG+1,QTo,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BB,83o,Trash,Fold (unplayable)
BTN,83o,Trash,Fold (unplayable)
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG,83o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,KQs,Strong,"Call, fold to large 3-bet"
CO,A5s,Speculative,Fold (not profitable OOP)
MP,AA,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
MP,AKs,Premium,Raise (almost always)
BB,72o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,T3o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,KK,Premium,Raise (almost always)
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,QQ,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
BTN,83o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
CO,AJs,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,95o,Trash,Fold (unplayable)
HJ,95o,Trash,Fold (unplayable)
SB,AQs,Strong,"Raise, call 3-bet in position"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,87s,Speculative,Fold (not profitable OOP)
MP,95o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BTN,TT,Strong,"Raise, call 3-bet in position"
UTG,83o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
BB,72o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,AA,Premium,Raise (almost always)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
CO,98s,Speculative,Fold (not profitable OOP)
HJ,AA,Premium,Raise (almost always)
UTG+1,T3o,Trash,Fold (unplayable)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
CO,A5s,Speculative,Fold (not profitable OOP)
HJ,AQs,Strong,"Call, fold to large 3-bet"
BB,KQs,Strong,"Call, fold to large 3-bet"
CO,AJs,Strong,"Raise, call 3-bet in position"
SB,KQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,AKs,Premium,Raise (almost always)
MP,AA,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BB,J4o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,22,Marginal,Fold (too weak early)
CO,87s,Speculative,Fold (not profitable OOP)
SB,87s,Speculative,"Call if no raise, fold to raise"
SB,QQ,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
BB,AQs,Strong,"Call, fold to large 3-bet"
HJ,J4o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
BB,QQ,Premium,Raise (almost always)
MP,KJo,Marginal,Fold (too weak early)
MP,A5s,Speculative,Fold (not profitable OOP)
MP,A9o,Marginal,Fold (too weak early)
SB,72o,Trash,Fold (unplayable)
MP,TT,Strong,"Call, fold to large 3-bet"
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG,T3o,Trash,Fold (unplayable)
BTN,83o,Trash,Fold (unplayable)
UTG,J9s,Marginal,Fold (too weak early)
MP,AJs,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
HJ,J4o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
MP,95o,Trash,Fold (unplayable)
SB,JJ,Strong,"Raise, call 3-bet in position"
MP,95o,Trash,Fold (unplayable)
CO,22,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,95o,Trash,Fold (unplayable)
CO,22,Marginal,"Call if folded to, fold to aggression"
MP,KTs,Speculative,Fold (not profitable OOP)
SB,83o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG,QQ,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,KJo,Marginal,"Call if folded to, fold to aggression"
CO,J4o,Trash,Fold (unplayable)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,83o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,AA,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
SB,QQ,Premium,Raise (almost always)
HJ,T9s,Speculative,Fold (not profitable OOP)
MP,KTs,Speculative,Fold (not profitable OOP)
HJ,KTs,Speculative,Fold (not profitable OOP)
BB,KTs,Speculative,"Call if no raise, fold to raise"
BB,83o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,22,Marginal,Fold (too weak early)
UTG,QQ,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
HJ,AA,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
BB,KK,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,83o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG+1,72o,Trash,Fold (unplayable)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,T9s,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
MP,J9s,Marginal,Fold (too weak early)
CO,T9s,Speculative,Fold (not profitable OOP)
CO,87s,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,72o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
HJ,AA,Premium,Raise (almost always)
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,J9s,Marginal,Fold (too weak early)
BTN,KQs,Strong,"Raise, call 3-bet in position"
HJ,QQ,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
CO,KK,Premium,Raise (almost always)
HJ,KK,Premium,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,AKs,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
MP,KTs,Speculative,Fold (not profitable OOP)
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,83o,Trash,Fold (unplayable)
HJ,T3o,Trash,Fold (unplayable)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,J4o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
MP,KK,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG,KQs,Strong,"Call, fold to large 3-bet"
BB,TT,Strong,"Call, fold to large 3-bet"
BB,83o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
HJ,QQ,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,A9o,Marginal,Fold (too weak early)
SB,22,Marginal,"Call if folded to, fold to aggression"
BTN,T3o,Trash,Fold (unplayable)
HJ,87s,Speculative,Fold (not profitable OOP)
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,QQ,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
CO,AJs,Strong,"Raise, call 3-bet in position"
BTN,22,Marginal,"Call if folded to, fold to aggression"
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG,TT,Strong,"Call, fold to large 3-bet"
SB,AQs,Strong,"Raise, call 3-bet in position"
BB,KK,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,87s,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
HJ,72o,Trash,Fold (unplayable)
SB,QQ,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
CO,QQ,Premium,Raise (almost always)
MP,QQ,Premium,Raise (almost always)
UTG+1,98s,Speculative,Fold (not profitable OOP)
HJ,J4o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,T3o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
SB,AKs,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
HJ,T9s,Speculative,Fold (not profitable OOP)
MP,KQs,Strong,"Call, fold to large 3-bet"
BB,TT,Strong,"Call, fold to large 3-bet"
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,T3o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
BTN,J4o,Trash,Fold (unplayable)
BB,AKs,Premium,Raise (almost always)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
HJ,TT,Strong,"Call, fold to large 3-bet"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,J9s,Marginal,Fold (too weak early)
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
SB,QQ,Premium,Raise (almost always)
BTN,AKs,Premium,Raise (almost always)
CO,T9s,Speculative,Fold (not profitable OOP)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG,TT,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
HJ,95o,Trash,Fold (unplayable)
SB,AKs,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG,87s,Speculative,Fold (not profitable OOP)
CO,J4o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,22,Marginal,Fold (too weak early)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
MP,22,Marginal,Fold (too weak early)
BB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,AA,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,QQ,Premium,Raise (almost always)
MP,QQ,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
SB,95o,Trash,Fold (unplayable)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,98s,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
UTG,KQs,Strong,"Call, fold to large 3-bet"
MP,T3o,Trash,Fold (unplayable)
CO,KK,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
BB,TT,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AA,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,T3o,Trash,Fold (unplayable)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG,AKs,Premium,Raise (almost always)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,AKs,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BB,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
SB,83o,Trash,Fold (unplayable)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AQs,Strong,"Call, fold to large 3-bet"
CO,72o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,T3o,Trash,Fold (unplayable)
BB,J4o,Trash,Fold (unplayable)
CO,KK,Premium,Raise (almost always)
CO,A5s,Speculative,Fold (not profitable OOP)
HJ,A5s,Speculative,Fold (not profitable OOP)
MP,72o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,QQ,Premium,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
SB,KTs,Speculative,"Call if no raise, fold to raise"
MP,83o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,J4o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
HJ,83o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,KTs,Speculative,"Call if no raise, fold to raise"
SB,95o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
SB,72o,Trash,Fold (unplayable)
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,83o,Trash,Fold (unplayable)
BB,J4o,Trash,Fold (unplayable)
SB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,AJs,Strong,"Raise, call 3-bet in position"
BB,72o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
MP,83o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
MP,95o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,KQs,Strong,"Raise, call 3-bet in position"
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG,A9o,Marginal,Fold (too weak early)
BB,87s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,QQ,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BB,AKs,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,AKs,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
UTG,95o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,98s,Speculative,"Call if no raise, fold to raise"
BTN,87s,Speculative,"Call if no raise, fold to raise"
SB,AKs,Premium,Raise (almost always)
HJ,KTs,Speculative,Fold (not profitable OOP)
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG,A5s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
MP,98s,Speculative,Fold (not profitable OOP)
HJ,95o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
HJ,AJs,Strong,"Call, fold to large 3-bet"
MP,TT,Strong,"Call, fold to large 3-bet"
UTG+1,83o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
