Position,Hand,Hand Type,Recommended Action
MP,J9s,Marginal,Fold (too weak early)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BB,AKs,Premium,Raise (almost always)
MP,KQs,Strong,"Call, fold to large 3-bet"
HJ,AKs,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,KJo,Marginal,Fold (too weak early)
UTG,KQs,Strong,"Call, fold to large 3-bet"
BTN,JJ,Strong,"Raise, call 3-bet in position"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BB,95o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
HJ,95o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG,95o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
MP,95o,Trash,Fold (unplayable)
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG,72o,Trash,Fold (unplayable)
BTN,95o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
CO,QQ,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
MP,98s,Speculative,Fold (not profitable OOP)
BTN,JJ,Strong,"Raise, call 3-bet in position"
CO,A5s,Speculative,Fold (not profitable OOP)
UTG,QTo,Marginal,Fold (too weak early)
HJ,TT,Strong,"Call, fold to large 3-bet"
SB,98s,Speculative,"Call if no raise, fold to raise"
BB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,A5s,Speculative,Fold (not profitable OOP)
BTN,TT,Strong,"Raise, call 3-bet in position"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
UTG,J9s,Marginal,Fold (too weak early)
SB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,KQs,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
MP,KQs,Strong,"Call, fold to large 3-bet"
CO,AQs,Strong,"Raise, call 3-bet in position"
HJ,95o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
SB,72o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BTN,J4o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AA,Premium,Raise (almost always)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,KJo,Marginal,Fold (too weak early)
BB,83o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
UTG+1,T3o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,95o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,J4o,Trash,Fold (unplayable)
BB,AA,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
SB,AQs,Strong,"Raise, call 3-bet in position"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,98s,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,95o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
BB,J4o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
MP,98s,Speculative,Fold (not profitable OOP)
HJ,72o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
CO,87s,Speculative,Fold (not profitable OOP)
BB,KTs,Speculative,"Call if no raise, fold to raise"
MP,T3o,Trash,Fold (unplayable)
MP,TT,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
SB,95o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
UTG+1,KK,Premium,Raise (almost always)
SB,95o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,QQ,Premium,Raise (almost always)
UTG+1,AKs,Premium,Raise (almost always)
BTN,83o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
MP,22,Marginal,Fold (too weak early)
BB,J4o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
HJ,95o,Trash,Fold (unplayable)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BB,AA,Premium,Raise (almost always)
UTG+1,KK,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,T3o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
CO,AJs,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,TT,Strong,"Raise, call 3-bet in position"
UTG+1,72o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,A9o,Marginal,Fold (too weak early)
SB,KQs,Strong,"Raise, call 3-bet in position"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
CO,95o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
UTG+1,22,Marginal,Fold (too weak early)
BB,T3o,Trash,Fold (unplayable)
SB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,T3o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
CO,J4o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
UTG,72o,Trash,Fold (unplayable)
UTG,T3o,Trash,Fold (unplayable)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
HJ,T9s,Speculative,Fold (not profitable OOP)
CO,KK,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
MP,AJs,Strong,"Call, fold to large 3-bet"
HJ,72o,Trash,Fold (unplayable)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,98s,Speculative,"Call if no raise, fold to raise"
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,JJ,Strong,"Raise, call 3-bet in position"
BTN,83o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
MP,KJo,Marginal,Fold (too weak early)
UTG+1,KK,Premium,Raise (almost always)
SB,T3o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,95o,Trash,Fold (unplayable)
BB,JJ,Strong,"Call, fold to large 3-bet"
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,83o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
CO,QQ,Premium,Raise (almost always)
BB,J4o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,22,Marginal,Fold (too weak early)
UTG+1,AA,Premium,Raise (almost always)
SB,AA,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
UTG,KK,Premium,Raise (almost always)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG,95o,Trash,Fold (unplayable)
HJ,87s,Speculative,Fold (not profitable OOP)
UTG,72o,Trash,Fold (unplayable)
HJ,TT,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,72o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,T3o,Trash,Fold (unplayable)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,22,Marginal,Fold (too weak early)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
MP,J9s,Marginal,Fold (too weak early)
BB,TT,Strong,"Call, fold to large 3-bet"
MP,KK,Premium,Raise (almost always)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
UTG,87s,Speculative,Fold (not profitable OOP)
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,J4o,Trash,Fold (unplayable)
UTG,T3o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,72o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
SB,83o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
BB,TT,Strong,"Call, fold to large 3-bet"
SB,AKs,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,T9s,Speculative,Fold (not profitable OOP)
SB,T3o,Trash,Fold (unplayable)
MP,QTo,Marginal,Fold (too weak early)
CO,22,Marginal,"Call if folded to, fold to aggression"
CO,AA,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,T9s,Speculative,"Call if no raise, fold to raise"
SB,83o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG,A5s,Speculative,Fold (not profitable OOP)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,QQ,Premium,Raise (almost always)
SB,TT,Strong,"Raise, call 3-bet in position"
BTN,TT,Strong,"Raise, call 3-bet in position"
CO,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,AJs,Strong,"Raise, call 3-bet in position"
BB,QQ,Premium,Raise (almost always)
HJ,KTs,Speculative,Fold (not profitable OOP)
BTN,QQ,Premium,Raise (almost always)
SB,AA,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG+1,QQ,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
UTG+1,22,Marginal,Fold (too weak early)
CO,JJ,Strong,"Raise, call 3-bet in position"
SB,T3o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
MP,AA,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
BB,JJ,Strong,"Call, fold to large 3-bet"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG,JJ,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,AKs,Premium,Raise (almost always)
MP,KJo,Marginal,Fold (too weak early)
MP,KQs,Strong,"Call, fold to large 3-bet"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,95o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,KK,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,J4o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,QQ,Premium,Raise (almost always)
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,TT,Strong,"Call, fold to large 3-bet"
UTG,T3o,Trash,Fold (unplayable)
CO,22,Marginal,"Call if folded to, fold to aggression"
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG,KQs,Strong,"Call, fold to large 3-bet"
BB,72o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,A9o,Marginal,Fold (too weak early)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,98s,Speculative,Fold (not profitable OOP)
MP,QTo,Marginal,Fold (too weak early)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
CO,98s,Speculative,Fold (not profitable OOP)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,83o,Trash,Fold (unplayable)
BB,QQ,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
SB,KTs,Speculative,"Call if no raise, fold to raise"
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,T3o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
BB,AQs,Strong,"Call, fold to large 3-bet"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,83o,Trash,Fold (unplayable)
CO,QQ,Premium,Raise (almost always)
UTG+1,T3o,Trash,Fold (unplayable)
MP,98s,Speculative,Fold (not profitable OOP)
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,83o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,KQs,Strong,"Call, fold to large 3-bet"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,22,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,AA,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,KK,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BTN,QQ,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
UTG,T9s,Speculative,Fold (not profitable OOP)
HJ,72o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,T9s,Speculative,"Call if no raise, fold to raise"
CO,98s,Speculative,Fold (not profitable OOP)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,T3o,Trash,Fold (unplayable)
SB,AA,Premium,Raise (almost always)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,98s,Speculative,"Call if no raise, fold to raise"
MP,TT,Strong,"Call, fold to large 3-bet"
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,KK,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG,T3o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,AA,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
UTG,AKs,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,A5s,Speculative,Fold (not profitable OOP)
BTN,98s,Speculative,"Call if no raise, fold to raise"
CO,22,Marginal,"Call if folded to, fold to aggression"
MP,AQs,Strong,"Call, fold to large 3-bet"
UTG,98s,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,83o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
UTG,JJ,Strong,"Call, fold to large 3-bet"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,72o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
