Position,Hand,Hand Type,Recommended Action
UTG+1,22,Marginal,Fold (too weak early)
UTG+1,J4o,Trash,Fold (unplayable)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
UTG,J4o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,T9s,Speculative,"Call if no raise, fold to raise"
CO,J4o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
UTG,95o,Trash,Fold (unplayable)
HJ,AKs,Premium,Raise (almost always)
BTN,83o,Trash,Fold (unplayable)
CO,J4o,Trash,Fold (unplayable)
CO,83o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,QQ,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,98s,Speculative,Fold (not profitable OOP)
MP,A5s,Speculative,Fold (not profitable OOP)
BTN,72o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,TT,Strong,"Call, fold to large 3-bet"
UTG,22,Marginal,Fold (too weak early)
CO,QQ,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
SB,AA,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
UTG,KK,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,AKs,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
BB,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
HJ,AA,Premium,Raise (almost always)
UTG+1,AA,Premium,Raise (almost always)
SB,JJ,Strong,"Raise, call 3-bet in position"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
CO,72o,Trash,Fold (unplayable)
MP,83o,Trash,Fold (unplayable)
CO,A5s,Speculative,Fold (not profitable OOP)
UTG,J4o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
BB,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
CO,95o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,J9s,Marginal,Fold (too weak early)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BB,JJ,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
UTG+1,95o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
UTG+1,QTo,Marginal,Fold (too weak early)
BB,87s,Speculative,"Call if no raise, fold to raise"
SB,87s,Speculative,"Call if no raise, fold to raise"
MP,98s,Speculative,Fold (not profitable OOP)
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,95o,Trash,Fold (unplayable)
UTG,TT,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
CO,JJ,Strong,"Raise, call 3-bet in position"
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,J4o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
UTG,A5s,Speculative,Fold (not profitable OOP)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,T3o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
BB,JJ,Strong,"Call, fold to large 3-bet"
BB,AA,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
MP,AQs,Strong,"Call, fold to large 3-bet"
CO,AKs,Premium,Raise (almost always)
UTG+1,J9s,Marginal,Fold (too weak early)
MP,KK,Premium,Raise (almost always)
HJ,KK,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
UTG+1,87s,Speculative,Fold (not profitable OOP)
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,QQ,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
BB,KK,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,AA,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
UTG+1,QTo,Marginal,Fold (too weak early)
HJ,95o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
CO,TT,Strong,"Raise, call 3-bet in position"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,83o,Trash,Fold (unplayable)
MP,J9s,Marginal,Fold (too weak early)
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,83o,Trash,Fold (unplayable)
HJ,A5s,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,72o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
UTG,22,Marginal,Fold (too weak early)
SB,98s,Speculative,"Call if no raise, fold to raise"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,KJo,Marginal,Fold (too weak early)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,T3o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
MP,QTo,Marginal,Fold (too weak early)
MP,J4o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
BB,95o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
SB,AA,Premium,Raise (almost always)
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,72o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
MP,J9s,Marginal,Fold (too weak early)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,KQs,Strong,"Call, fold to large 3-bet"
HJ,KQs,Strong,"Call, fold to large 3-bet"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,87s,Speculative,"Call if no raise, fold to raise"
BB,KTs,Speculative,"Call if no raise, fold to raise"
CO,QQ,Premium,Raise (almost always)
SB,T9s,Speculative,"Call if no raise, fold to raise"
SB,T3o,Trash,Fold (unplayable)
BTN,95o,Trash,Fold (unplayable)
BB,AQs,Strong,"Call, fold to large 3-bet"
HJ,JJ,Strong,"Call, fold to large 3-bet"
MP,T3o,Trash,Fold (unplayable)
SB,T3o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
UTG,87s,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BTN,83o,Trash,Fold (unplayable)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
UTG,AKs,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
MP,22,Marginal,Fold (too weak early)
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,AA,Premium,Raise (almost always)
UTG+1,AKs,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,J4o,Trash,Fold (unplayable)
BTN,QQ,Premium,Raise (almost always)
HJ,AJs,Strong,"Call, fold to large 3-bet"
MP,J4o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
MP,KJo,Marginal,Fold (too weak early)
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG,72o,Trash,Fold (unplayable)
UTG+1,KJo,Marginal,Fold (too weak early)
CO,83o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
MP,QTo,Marginal,Fold (too weak early)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,KTs,Speculative,Fold (not profitable OOP)
UTG,95o,Trash,Fold (unplayable)
SB,TT,Strong,"Raise, call 3-bet in position"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,QQ,Premium,Raise (almost always)
SB,JJ,Strong,"Raise, call 3-bet in position"
HJ,T9s,Speculative,Fold (not profitable OOP)
CO,KTs,Speculative,Fold (not profitable OOP)
MP,AQs,Strong,"Call, fold to large 3-bet"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,QQ,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
UTG,QTo,Marginal,Fold (too weak early)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
MP,T9s,Speculative,Fold (not profitable OOP)
MP,AA,Premium,Raise (almost always)
MP,J4o,Trash,Fold (unplayable)
BB,AKs,Premium,Raise (almost always)
UTG,72o,Trash,Fold (unplayable)
HJ,72o,Trash,Fold (unplayable)
MP,22,Marginal,Fold (too weak early)
UTG,A5s,Speculative,Fold (not profitable OOP)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,T3o,Trash,Fold (unplayable)
SB,T9s,Speculative,"Call if no raise, fold to raise"
BB,QQ,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG,87s,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
BB,QQ,Premium,Raise (almost always)
BTN,AJs,Strong,"Raise, call 3-bet in position"
CO,T9s,Speculative,Fold (not profitable OOP)
HJ,KTs,Speculative,Fold (not profitable OOP)
UTG+1,KJo,Marginal,Fold (too weak early)
MP,QQ,Premium,Raise (almost always)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,98s,Speculative,Fold (not profitable OOP)
CO,J4o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,AKs,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
CO,A5s,Speculative,Fold (not profitable OOP)
BB,J4o,Trash,Fold (unplayable)
CO,AKs,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
MP,J9s,Marginal,Fold (too weak early)
HJ,AA,Premium,Raise (almost always)
MP,J4o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BB,AA,Premium,Raise (almost always)
MP,A9o,Marginal,Fold (too weak early)
MP,AJs,Strong,"Call, fold to large 3-bet"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,T9s,Speculative,Fold (not profitable OOP)
BB,KK,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,J9s,Marginal,Fold (too weak early)
HJ,T3o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
HJ,J4o,Trash,Fold (unplayable)
SB,T3o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,A9o,Marginal,Fold (too weak early)
BB,TT,Strong,"Call, fold to large 3-bet"
BTN,83o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
MP,QQ,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
BTN,AJs,Strong,"Raise, call 3-bet in position"
BB,KTs,Speculative,"Call if no raise, fold to raise"
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,JJ,Strong,"Raise, call 3-bet in position"
UTG,AA,Premium,Raise (almost always)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG,JJ,Strong,"Call, fold to large 3-bet"
BTN,AQs,Strong,"Raise, call 3-bet in position"
SB,95o,Trash,Fold (unplayable)
MP,72o,Trash,Fold (unplayable)
SB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,AKs,Premium,Raise (almost always)
UTG,T9s,Speculative,Fold (not profitable OOP)
UTG+1,72o,Trash,Fold (unplayable)
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,72o,Trash,Fold (unplayable)
SB,TT,Strong,"Raise, call 3-bet in position"
CO,QQ,Premium,Raise (almost always)
BB,KTs,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
CO,QQ,Premium,Raise (almost always)
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,87s,Speculative,Fold (not profitable OOP)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,AKs,Premium,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
BTN,95o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
HJ,AQs,Strong,"Call, fold to large 3-bet"
BTN,T3o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,83o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
UTG+1,KK,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,22,Marginal,Fold (too weak early)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,QQ,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,AA,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
SB,T9s,Speculative,"Call if no raise, fold to raise"
MP,QTo,Marginal,Fold (too weak early)
UTG,AA,Premium,Raise (almost always)
SB,AQs,Strong,"Raise, call 3-bet in position"
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,98s,Speculative,Fold (not profitable OOP)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
