Position,Hand,Hand Type,Recommended Action
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG+1,J9s,Marginal,Fold (too weak early)
BB,KTs,Speculative,"Call if no raise, fold to raise"
CO,83o,Trash,Fold (unplayable)
UTG,J4o,Trash,Fold (unplayable)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
HJ,TT,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
HJ,83o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,J4o,Trash,Fold (unplayable)
MP,J4o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
UTG,A5s,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,KK,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
SB,AQs,Strong,"Raise, call 3-bet in position"
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,T3o,Trash,Fold (unplayable)
BB,T9s,Speculative,"Call if no raise, fold to raise"
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,87s,Speculative,"Call if no raise, fold to raise"
MP,KJo,Marginal,Fold (too weak early)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,72o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
MP,QTo,Marginal,Fold (too weak early)
MP,AA,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
MP,AA,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,AKs,Premium,Raise (almost always)
UTG,A5s,Speculative,Fold (not profitable OOP)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
HJ,AKs,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
UTG+1,QTo,Marginal,Fold (too weak early)
UTG+1,QQ,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
HJ,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,KJo,Marginal,Fold (too weak early)
HJ,AA,Premium,Raise (almost always)
UTG+1,KJo,Marginal,Fold (too weak early)
BTN,TT,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BB,T9s,Speculative,"Call if no raise, fold to raise"
BB,KK,Premium,Raise (almost always)
BB,95o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
MP,A5s,Speculative,Fold (not profitable OOP)
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,AA,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
UTG,AKs,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
CO,T3o,Trash,Fold (unplayable)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG,87s,Speculative,Fold (not profitable OOP)
CO,22,Marginal,"Call if folded to, fold to aggression"
BTN,98s,Speculative,"Call if no raise, fold to raise"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
MP,AKs,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
MP,KK,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
HJ,J4o,Trash,Fold (unplayable)
CO,98s,Speculative,Fold (not profitable OOP)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
CO,87s,Speculative,Fold (not profitable OOP)
CO,98s,Speculative,Fold (not profitable OOP)
BB,95o,Trash,Fold (unplayable)
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
CO,A5s,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
HJ,KK,Premium,Raise (almost always)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG,JJ,Strong,"Call, fold to large 3-bet"
BTN,J4o,Trash,Fold (unplayable)
MP,72o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
CO,KK,Premium,Raise (almost always)
BTN,AQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,AA,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
BTN,22,Marginal,"Call if folded to, fold to aggression"
UTG,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG,TT,Strong,"Call, fold to large 3-bet"
BTN,J4o,Trash,Fold (unplayable)
SB,AA,Premium,Raise (almost always)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
BTN,22,Marginal,"Call if folded to, fold to aggression"
BTN,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,22,Marginal,Fold (too weak early)
HJ,KQs,Strong,"Call, fold to large 3-bet"
BTN,AA,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
SB,87s,Speculative,"Call if no raise, fold to raise"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,KTs,Speculative,Fold (not profitable OOP)
BTN,95o,Trash,Fold (unplayable)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
SB,72o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,A5s,Speculative,Fold (not profitable OOP)
MP,AQs,Strong,"Call, fold to large 3-bet"
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,J4o,Trash,Fold (unplayable)
SB,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
UTG,J4o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,T9s,Speculative,Fold (not profitable OOP)
BB,KQs,Strong,"Call, fold to large 3-bet"
CO,KK,Premium,Raise (almost always)
UTG+1,72o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,95o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,KK,Premium,Raise (almost always)
BTN,TT,Strong,"Raise, call 3-bet in position"
UTG+1,T3o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,KK,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
SB,J4o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
MP,KJo,Marginal,Fold (too weak early)
HJ,87s,Speculative,Fold (not profitable OOP)
HJ,AA,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG+1,87s,Speculative,Fold (not profitable OOP)
BB,TT,Strong,"Call, fold to large 3-bet"
CO,KQs,Strong,"Raise, call 3-bet in position"
HJ,87s,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,AA,Premium,Raise (almost always)
MP,KQs,Strong,"Call, fold to large 3-bet"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,QQ,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
SB,T3o,Trash,Fold (unplayable)
MP,A5s,Speculative,Fold (not profitable OOP)
HJ,AKs,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
UTG+1,KK,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
MP,QTo,Marginal,Fold (too weak early)
UTG,72o,Trash,Fold (unplayable)
SB,T3o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
SB,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,AA,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,QTo,Marginal,Fold (too weak early)
SB,83o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,72o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,AA,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,87s,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
MP,87s,Speculative,Fold (not profitable OOP)
CO,TT,Strong,"Raise, call 3-bet in position"
MP,T9s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
BB,T3o,Trash,Fold (unplayable)
UTG,AKs,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
CO,A5s,Speculative,Fold (not profitable OOP)
BTN,98s,Speculative,"Call if no raise, fold to raise"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,A9o,Marginal,Fold (too weak early)
HJ,QQ,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
CO,AKs,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,QTo,Marginal,Fold (too weak early)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG,J4o,Trash,Fold (unplayable)
MP,J9s,Marginal,Fold (too weak early)
UTG+1,J9s,Marginal,Fold (too weak early)
BB,AA,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
UTG,AKs,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
BB,QQ,Premium,Raise (almost always)
UTG,95o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
HJ,AJs,Strong,"Call, fold to large 3-bet"
BTN,83o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AA,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
MP,QQ,Premium,Raise (almost always)
UTG,JJ,Strong,"Call, fold to large 3-bet"
BB,KK,Premium,Raise (almost always)
CO,A5s,Speculative,Fold (not profitable OOP)
MP,72o,Trash,Fold (unplayable)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,AKs,Premium,Raise (almost always)
HJ,KK,Premium,Raise (almost always)
HJ,J4o,Trash,Fold (unplayable)
MP,J4o,Trash,Fold (unplayable)
BB,AKs,Premium,Raise (almost always)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,95o,Trash,Fold (unplayable)
CO,83o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,QTo,Marginal,Fold (too weak early)
SB,98s,Speculative,"Call if no raise, fold to raise"
BB,AQs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
HJ,QQ,Premium,Raise (almost always)
UTG,J4o,Trash,Fold (unplayable)
MP,AJs,Strong,"Call, fold to large 3-bet"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,JJ,Strong,"Call, fold to large 3-bet"
BTN,AA,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,AA,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,KQs,Strong,"Raise, call 3-bet in position"
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
SB,JJ,Strong,"Raise, call 3-bet in position"
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,T9s,Speculative,"Call if no raise, fold to raise"
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,KQs,Strong,"Raise, call 3-bet in position"
SB,95o,Trash,Fold (unplayable)
UTG,JJ,Strong,"Call, fold to large 3-bet"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,J9s,Marginal,Fold (too weak early)
SB,AQs,Strong,"Raise, call 3-bet in position"
UTG,QQ,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
MP,KTs,Speculative,Fold (not profitable OOP)
MP,22,Marginal,Fold (too weak early)
BTN,QQ,Premium,Raise (almost always)
MP,KJo,Marginal,Fold (too weak early)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG,KQs,Strong,"Call, fold to large 3-bet"
HJ,87s,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,T9s,Speculative,Fold (not profitable OOP)
UTG+1,22,Marginal,Fold (too weak early)
MP,KJo,Marginal,Fold (too weak early)
BTN,QQ,Premium,Raise (almost always)
MP,AQs,Strong,"Call, fold to large 3-bet"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,QQ,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
UTG,KK,Premium,Raise (almost always)
BTN,83o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AKs,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
CO,JJ,Strong,"Raise, call 3-bet in position"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,JJ,Strong,"Raise, call 3-bet in position"
MP,J9s,Marginal,Fold (too weak early)
CO,AJs,Strong,"Raise, call 3-bet in position"
HJ,QQ,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG,J4o,Trash,Fold (unplayable)
SB,QQ,Premium,Raise (almost always)
UTG+1,J9s,Marginal,Fold (too weak early)
HJ,KTs,Speculative,Fold (not profitable OOP)
HJ,KK,Premium,Raise (almost always)
MP,87s,Speculative,Fold (not profitable OOP)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,22,Marginal,"Call if folded to, fold to aggression"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,87s,Speculative,Fold (not profitable OOP)
HJ,72o,Trash,Fold (unplayable)
MP,AQs,Strong,"Call, fold to large 3-bet"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,A5s,Speculative,"Call if no raise, fold to raise"
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG,AA,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
UTG+1,98s,Speculative,Fold (not profitable OOP)
SB,KTs,Speculative,"Call if no raise, fold to raise"
MP,95o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
CO,AKs,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
BTN,22,Marginal,"Call if folded to, fold to aggression"
HJ,A5s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,T3o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
UTG+1,72o,Trash,Fold (unplayable)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
BB,KTs,Speculative,"Call if no raise, fold to raise"
CO,22,Marginal,"Call if folded to, fold to aggression"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
MP,AQs,Strong,"Call, fold to large 3-bet"
CO,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
BTN,AKs,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG,T9s,Speculative,Fold (not profitable OOP)
MP,QQ,Premium,Raise (almost always)
MP,J9s,Marginal,Fold (too weak early)
UTG+1,QQ,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG+1,QTo,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
MP,22,Marginal,Fold (too weak early)
HJ,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,KJo,Marginal,Fold (too weak early)
MP,83o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
UTG+1,98s,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
UTG,AKs,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
SB,TT,Strong,"Raise, call 3-bet in position"
MP,AKs,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
UTG+1,J4o,Trash,Fold (unplayable)
BB,KTs,Speculative,"Call if no raise, fold to raise"
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
MP,J9s,Marginal,Fold (too weak early)
MP,72o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
MP,87s,Speculative,Fold (not profitable OOP)
CO,J4o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
UTG,A5s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,95o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
BB,KTs,Speculative,"Call if no raise, fold to raise"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,87s,Speculative,"Call if no raise, fold to raise"
HJ,QQ,Premium,Raise (almost always)
MP,J9s,Marginal,Fold (too weak early)
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
UTG+1,J4o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
BB,J4o,Trash,Fold (unplayable)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,KJo,Marginal,Fold (too weak early)
BTN,83o,Trash,Fold (unplayable)
UTG,TT,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,AKs,Premium,Raise (almost always)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,J4o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,J4o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
UTG+1,KK,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
UTG+1,J9s,Marginal,Fold (too weak early)
BB,QQ,Premium,Raise (almost always)
